epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,23612.6,1.0073,1.28639,1.44674,0.69893,0.65474,0.629,0.4754,1.02675,1.41025,1.59211,0.00538,0.00538,0.00538
72,24352.6,1.00487,1.28358,1.44477,0.68951,0.66317,0.62948,0.47585,1.02528,1.41159,1.59122,0.005314,0.005314,0.005314
73,24928.9,1.00566,1.27947,1.44237,0.68698,0.66615,0.62943,0.476,1.02461,1.41314,1.59155,0.005248,0.005248,0.005248
74,25650.8,0.99965,1.26438,1.44083,0.68588,0.66623,0.62929,0.47626,1.02445,1.41412,1.5919,0.005182,0.005182,0.005182
75,26297.3,1.00221,1.26976,1.44379,0.68749,0.6659,0.62931,0.4767,1.02339,1.41566,1.59138,0.005116,0.005116,0.005116
76,27048.3,0.99671,1.26401,1.43724,0.68704,0.66326,0.62881,0.47652,1.02302,1.41721,1.59126,0.00505,0.00505,0.00505
77,27648.9,1.00225,1.26226,1.43661,0.68979,0.66446,0.62962,0.47736,1.02201,1.41994,1.58993,0.004984,0.004984,0.004984
78,28243.1,0.99176,1.25173,1.43233,0.69117,0.66248,0.62891,0.47785,1.02136,1.4204,1.59002,0.004918,0.004918,0.004918
79,28854.4,0.99448,1.24839,1.43543,0.69102,0.66252,0.62885,0.47765,1.01986,1.42113,1.58915,0.004852,0.004852,0.004852
80,29568,0.99397,1.24749,1.43618,0.68646,0.66487,0.62954,0.47762,1.0194,1.42274,1.58894,0.004786,0.004786,0.004786
81,30277.4,0.98478,1.24092,1.42811,0.6905,0.66127,0.62991,0.47801,1.01834,1.42332,1.58849,0.00472,0.00472,0.00472
82,30853.9,0.98136,1.22825,1.42359,0.68706,0.66313,0.62936,0.47809,1.0188,1.42379,1.58972,0.004654,0.004654,0.004654
83,31462.7,0.9887,1.22397,1.42517,0.68574,0.66392,0.62996,0.47837,1.0194,1.42371,1.59025,0.004588,0.004588,0.004588
84,32083.4,0.97994,1.21907,1.42428,0.68994,0.66036,0.62989,0.47865,1.01939,1.42357,1.59003,0.004522,0.004522,0.004522
85,32722.6,0.97109,1.20569,1.41242,0.6892,0.66283,0.6302,0.47884,1.01937,1.42306,1.58965,0.004456,0.004456,0.004456
86,33363.6,0.9721,1.20661,1.41668,0.68843,0.66087,0.63036,0.47894,1.0193,1.42363,1.58973,0.00439,0.00439,0.00439
87,33998,0.97053,1.20624,1.41529,0.6868,0.66039,0.6306,0.47951,1.01966,1.42444,1.59004,0.004324,0.004324,0.004324
88,34601,0.97539,1.21343,1.42011,0.6857,0.66059,0.63148,0.48012,1.01989,1.42413,1.59095,0.004258,0.004258,0.004258
89,35218.1,0.96601,1.19552,1.41405,0.68754,0.65833,0.63159,0.48059,1.01945,1.42458,1.59091,0.004192,0.004192,0.004192
90,35858.3,0.95505,1.17865,1.40308,0.68788,0.65894,0.63172,0.48057,1.01957,1.42383,1.59146,0.004126,0.004126,0.004126
91,36499.8,0.95286,1.18439,1.40202,0.68955,0.65898,0.63262,0.48096,1.02009,1.4227,1.59231,0.00406,0.00406,0.00406
92,37126.3,0.95725,1.17077,1.40317,0.68496,0.66098,0.63281,0.48152,1.01952,1.42252,1.59165,0.003994,0.003994,0.003994
93,37738.9,0.95537,1.18315,1.4021,0.68647,0.66177,0.63302,0.48197,1.01911,1.42338,1.59093,0.003928,0.003928,0.003928
94,38376.7,0.96066,1.18051,1.40647,0.68914,0.66093,0.63347,0.48249,1.01905,1.4238,1.59067,0.003862,0.003862,0.003862
95,38975.2,0.95624,1.17313,1.39799,0.6884,0.6636,0.63434,0.48312,1.01895,1.42429,1.59048,0.003796,0.003796,0.003796
96,39649.3,0.95439,1.16743,1.39633,0.68815,0.66503,0.63478,0.48342,1.01919,1.42436,1.59086,0.00373,0.00373,0.00373
97,40239,0.94888,1.15975,1.39394,0.6885,0.66546,0.63499,0.48356,1.0197,1.42489,1.59161,0.003664,0.003664,0.003664
98,40891.2,0.95482,1.16688,1.39837,0.68756,0.66612,0.63503,0.48374,1.02047,1.42512,1.59254,0.003598,0.003598,0.003598
99,41621.6,0.9458,1.15682,1.39259,0.68983,0.66511,0.63557,0.4845,1.0205,1.42453,1.59262,0.003532,0.003532,0.003532
